iter	Passed	Remaining
1050	4290	1832
1051	4293	1828
1052	4297	1824
1053	4300	1819
1054	4304	1815
1055	4307	1811
1056	4312	1807
1057	4316	1803
1058	4320	1799
1059	4324	1795
1060	4329	1791
1061	4333	1787
1062	4337	1783
1063	4342	1779
1064	4346	1775
1065	4351	1771
1066	4354	1767
1067	4358	1763
1068	4362	1759
1069	4366	1754
1070	4370	1750
1071	4374	1746
1072	4378	1742
1073	4382	1738
1074	4385	1733
1075	4390	1729
1076	4393	1725
1077	4397	1721
1078	4401	1717
1079	4404	1712
1080	4409	1709
1081	4413	1705
1082	4418	1701
1083	4422	1697
1084	4427	1693
1085	4430	1689
1086	4434	1684
1087	4438	1680
1088	4442	1676
1089	4445	1672
1090	4448	1667
1091	4452	1663
1092	4456	1659
1093	4459	1655
1094	4463	1650
1095	4467	1646
1096	4471	1642
1097	4475	1638
1098	4479	1634
1099	4483	1630
1100	4486	1625
1101	4490	1621
1102	4494	1617
1103	4498	1613
1104	4502	1609
1105	4508	1606
1106	4512	1602
1107	4516	1597
1108	4520	1593
1109	4523	1589
1110	4527	1585
1111	4531	1581
1112	4535	1577
1113	4538	1572
1114	4542	1568
1115	4546	1564
1116	4550	1560
1117	4553	1555
1118	4557	1551
1119	4560	1547
1120	4563	1542
1121	4565	1538
1122	4569	1534
1123	4573	1529
1124	4576	1525
1125	4579	1521
1126	4582	1516
1127	4586	1512
1128	4591	1508
1129	4594	1504
1130	4597	1499
1131	4600	1495
1132	4603	1491
1133	4607	1487
1134	4610	1482
1135	4614	1478
1136	4617	1474
1137	4620	1469
1138	4624	1465
1139	4627	1461
1140	4631	1457
1141	4635	1453
1142	4638	1448
1143	4643	1444
1144	4647	1440
1145	4650	1436
1146	4654	1432
1147	4657	1428
1148	4661	1423
1149	4664	1419
1150	4669	1415
1151	4673	1411
1152	4678	1408
1153	4682	1404
1154	4686	1399
1155	4689	1395
1156	4693	1391
1157	4697	1387
1158	4701	1383
1159	4705	1379
1160	4708	1374
1161	4712	1370
1162	4716	1366
1163	4720	1362
1164	4723	1358
1165	4726	1353
1166	4730	1349
1167	4734	1345
1168	4738	1341
1169	4741	1337
1170	4745	1333
1171	4750	1329
1172	4753	1325
1173	4758	1321
1174	4763	1317
1175	4767	1313
1176	4772	1309
1177	4776	1305
1178	4780	1301
1179	4783	1297
1180	4787	1293
1181	4792	1289
1182	4795	1285
1183	4799	1280
1184	4803	1276
1185	4806	1272
1186	4811	1268
1187	4815	1264
1188	4819	1260
1189	4822	1256
1190	4826	1252
1191	4830	1248
1192	4835	1244
1193	4838	1240
1194	4844	1236
1195	4848	1232
1196	4851	1228
1197	4856	1224
1198	4860	1220
1199	4864	1216
1200	4867	1211
1201	4871	1207
1202	4876	1203
1203	4880	1199
1204	4885	1195
1205	4888	1191
1206	4892	1187
1207	4895	1183
1208	4900	1179
1209	4904	1175
1210	4909	1171
1211	4913	1167
1212	4917	1163
1213	4921	1159
1214	4924	1155
1215	4928	1151
1216	4932	1146
1217	4936	1143
1218	4940	1138
1219	4944	1134
1220	4947	1130
1221	4951	1126
1222	4953	1122
1223	4957	1117
1224	4960	1113
1225	4963	1109
1226	4967	1105
1227	4971	1101
1228	4974	1096
1229	4978	1092
1230	4981	1088
1231	4985	1084
1232	4989	1080
1233	4993	1076
1234	4996	1072
1235	5001	1068
1236	5006	1064
1237	5011	1060
1238	5016	1056
1239	5020	1052
1240	5025	1048
1241	5029	1044
1242	5032	1040
1243	5037	1036
1244	5042	1032
1245	5047	1028
1246	5053	1025
1247	5058	1021
1248	5062	1017
1249	5066	1013
1250	5071	1009
1251	5076	1005
1252	5081	1001
1253	5086	997
1254	5090	993
1255	5096	990
1256	5100	986
1257	5105	982
1258	5109	978
1259	5114	974
1260	5119	970
1261	5124	966
1262	5129	962
1263	5135	958
1264	5141	955
1265	5146	951
1266	5150	947
1267	5154	943
1268	5159	939
1269	5164	935
1270	5167	931
1271	5173	927
1272	5179	923
1273	5185	919
1274	5190	915
1275	5196	912
1276	5201	908
1277	5206	904
1278	5210	900
1279	5216	896
1280	5223	893
1281	5229	889
1282	5234	885
1283	5238	881
1284	5242	877
1285	5246	873
1286	5252	869
1287	5260	865
1288	5265	861
1289	5270	858
1290	5276	854
1291	5282	850
1292	5287	846
1293	5292	842
1294	5297	838
1295	5303	834
1296	5308	830
1297	5314	827
1298	5319	823
1299	5325	819
1300	5329	815
1301	5333	811
1302	5337	806
1303	5343	803
1304	5349	799
1305	5353	795
1306	5359	791
1307	5364	787
1308	5370	783
1309	5375	779
1310	5380	775
1311	5385	771
1312	5391	767
1313	5396	763
1314	5401	759
1315	5406	755
1316	5411	751
1317	5416	747
1318	5421	744
1319	5426	739
1320	5430	735
1321	5435	731
1322	5439	727
1323	5444	723
1324	5449	719
1325	5453	715
1326	5457	711
1327	5462	707
1328	5468	703
1329	5473	699
1330	5479	695
1331	5483	691
